id_nasabah,jumlah_pinjaman,pendapatan_bulanan,usia_nasabah,status_pekerjaan,Credit_Score,riwayat_kredit,tanggal_data
1,12000000,14000000,28,karyawan_swasta,510,baik,2024-10-16
2,5000000,4000000,27,wirausaha,627,baik,2024-11-07
3,11000000,12000000,47,karyawan_swasta,677,baik,2025-04-01
4,10000000,11000000,30,pns,785,baik,2025-01-25
5,7000000,8000000,38,wirausaha,587,buruk,2025-04-01
6,10000000,12000000,30,karyawan_swasta,705,baik,2025-06-10
7,10000000,12000000,35,wirausaha,613,baik,2025-02-27
8,6000000,5000000,52,wirausaha,850,baik,2025-05-01
9,12000000,10000000,31,wirausaha,652,baik,2024-10-13
10,13000000,11000000,46,wirausaha,722,baik,2025-06-21
11,13000000,15000000,34,wirausaha,719,baik,2025-04-27
12,7000000,8000000,45,karyawan_swasta,620,baik,2025-08-04
13,9000000,11000000,31,karyawan_swasta,679,buruk,2025-04-09
14,9000000,8000000,50,wirausaha,780,baik,2024-12-12
15,11000000,9000000,38,wirausaha,627,buruk,2025-04-10
16,13000000,15000000,36,karyawan_swasta,680,baik,2025-06-13
17,7000000,8000000,42,karyawan_swasta,587,buruk,2025-03-21
18,11000000,10000000,31,wirausaha,592,baik,2025-05-20
19,7000000,6000000,47,wirausaha,707,baik,2025-09-11
20,5000000,6000000,57,wirausaha,821,baik,2025-09-07
21,13000000,11000000,31,pns,850,baik,2025-07-13
22,10000000,12000000,51,karyawan_swasta,625,buruk,2024-11-05
23,16000000,18000000,18,wirausaha,850,baik,2025-08-12
24,11000000,12000000,27,karyawan_swasta,804,baik,2025-08-06
25,10000000,12000000,44,wirausaha,748,baik,2025-06-22
26,11000000,13000000,58,karyawan_swasta,589,buruk,2025-07-08
27,10000000,11000000,24,wirausaha,603,buruk,2025-01-17
28,14000000,16000000,40,karyawan_swasta,617,baik,2025-02-27
29,11000000,10000000,41,wirausaha,850,baik,2025-05-18
30,8000000,7000000,30,karyawan_swasta,758,baik,2025-04-24
31,5000000,6000000,39,wirausaha,655,baik,2025-03-26
32,11000000,9000000,36,wirausaha,770,baik,2025-08-05
33,12000000,10000000,27,karyawan_swasta,763,baik,2025-06-25
34,15000000,18000000,46,wirausaha,650,baik,2025-04-23
35,15000000,17000000,27,wirausaha,654,baik,2025-06-04
36,9000000,7000000,46,wirausaha,657,baik,2025-07-02
37,10000000,12000000,57,wirausaha,644,baik,2024-11-05
38,11000000,13000000,18,pns,739,baik,2025-02-05
39,12000000,14000000,43,karyawan_swasta,698,buruk,2024-11-24
40,10000000,12000000,45,wirausaha,810,baik,2024-09-26
41,10000000,12000000,39,wirausaha,611,buruk,2025-02-10
42,7000000,8000000,18,wirausaha,850,baik,2025-06-30
43,12000000,14000000,61,karyawan_swasta,727,baik,2025-03-08
44,13000000,15000000,25,karyawan_swasta,831,baik,2025-08-12
45,10000000,12000000,58,karyawan_swasta,646,baik,2025-06-02
46,12000000,13000000,35,pns,819,baik,2024-10-02
47,10000000,8000000,36,wirausaha,632,baik,2024-11-10
48,15000000,17000000,41,wirausaha,698,baik,2025-04-16
49,13000000,10000000,40,wirausaha,648,baik,2025-07-01
50,10000000,11000000,45,wirausaha,590,baik,2024-10-03
51,9000000,10000000,18,karyawan_swasta,700,baik,2025-01-14
52,5000000,6000000,48,karyawan_swasta,746,baik,2025-07-19
53,10000000,12000000,31,wirausaha,673,baik,2024-09-21
54,5000000,6000000,45,wirausaha,813,baik,2024-09-14
55,14000000,16000000,18,karyawan_swasta,701,buruk,2024-10-08
56,11000000,13000000,45,karyawan_swasta,684,baik,2025-05-11
57,6000000,7000000,44,pns,700,baik,2025-01-22
58,9000000,11000000,37,wirausaha,626,buruk,2025-01-24
59,8000000,9000000,39,karyawan_swasta,801,baik,2025-03-06
60,5000000,6000000,23,pns,718,baik,2024-10-22
61,14000000,16000000,33,wirausaha,691,baik,2025-01-05
62,7000000,8000000,44,karyawan_swasta,674,baik,2025-03-21
63,9000000,10000000,36,pns,778,baik,2025-06-05
64,16000000,18000000,46,wirausaha,800,baik,2024-12-07
65,9000000,10000000,31,wirausaha,674,baik,2025-03-21
66,16000000,13000000,30,karyawan_swasta,677,baik,2025-01-26
67,19000000,21000000,52,wirausaha,726,baik,2025-01-06
68,10000000,8000000,23,wirausaha,659,baik,2025-03-17
69,9000000,7000000,23,karyawan_swasta,718,baik,2024-09-26
70,11000000,13000000,43,wirausaha,663,baik,2025-03-01
71,12000000,14000000,44,karyawan_swasta,632,baik,2025-08-26
72,9000000,11000000,18,wirausaha,577,baik,2025-02-26
73,5000000,6000000,39,karyawan_swasta,709,baik,2025-01-26
74,5000000,6000000,63,wirausaha,661,baik,2024-10-25
75,7000000,6000000,26,wirausaha,773,baik,2025-01-18
76,13000000,15000000,35,karyawan_swasta,610,baik,2025-08-27
77,11000000,13000000,45,karyawan_swasta,661,baik,2025-09-12
